localidad,provincia,region,producto,tipohorario,precio,latitud,longitud,anio_indice,mes_indice,anio_vigencia,mes_vigencia
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Gas Oil Grado 2,Diurno,1525.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Gas Oil Grado 2,Nocturno,1525.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Gas Oil Grado 3,Diurno,1745.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Gas Oil Grado 3,Nocturno,1745.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,GNC,Diurno,499.9,-34.658476,-58.529443,2025,5,2025,5
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,GNC,Nocturno,499.9,-34.658476,-58.529443,2025,5,2025,5
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Nafta (premium) de más de 95 Ron,Diurno,1803.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Nafta (premium) de más de 95 Ron,Nocturno,1803.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,Diurno,1484.0,-34.658476,-58.529443,2025,10,2025,10
LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,Nocturno,1484.0,-34.658476,-58.529443,2025,10,2025,10
SIERRA GRANDE,RIO NEGRO,No especificado,Gas Oil Grado 2,Diurno,1236.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Gas Oil Grado 2,Nocturno,1236.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Gas Oil Grado 3,Diurno,1480.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Gas Oil Grado 3,Nocturno,1480.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Nafta (premium) de más de 95 Ron,Diurno,1220.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Nafta (premium) de más de 95 Ron,Nocturno,1220.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Nafta (súper) entre 92 y 95 Ron,Diurno,1026.0,-41.60707,-65.35383,2025,5,2025,5
SIERRA GRANDE,RIO NEGRO,No especificado,Nafta (súper) entre 92 y 95 Ron,Nocturno,1026.0,-41.60707,-65.35383,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Gas Oil Grado 2,Diurno,1220.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Gas Oil Grado 2,Nocturno,1220.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Gas Oil Grado 3,Diurno,1467.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Gas Oil Grado 3,Nocturno,1467.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Nafta (premium) de más de 95 Ron,Diurno,1220.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Nafta (premium) de más de 95 Ron,Nocturno,1220.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Nafta (súper) entre 92 y 95 Ron,Diurno,1026.0,-44.050662,-70.583041,2025,5,2025,5
GOBERNADOR COSTA,CHUBUT,PATAGONIA,Nafta (súper) entre 92 y 95 Ron,Nocturno,1026.0,-44.050662,-70.583041,2025,5,2025,5
EL TALAR,BUENOS AIRES,No especificado,Gas Oil Grado 2,Diurno,1565.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,Gas Oil Grado 2,Nocturno,1565.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,Gas Oil Grado 3,Diurno,1813.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,Gas Oil Grado 3,Nocturno,1813.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,GNC,Diurno,579.0,-34.47597,-58.66318,2025,2,2025,2
EL TALAR,BUENOS AIRES,No especificado,GNC,Nocturno,579.0,-34.47597,-58.66318,2025,2,2025,2
EL TALAR,BUENOS AIRES,No especificado,Nafta (premium) de más de 95 Ron,Diurno,1873.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,Nafta (premium) de más de 95 Ron,Nocturno,1873.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,Nafta (súper) entre 92 y 95 Ron,Diurno,1562.0,-34.47597,-58.66318,2025,11,2025,11
EL TALAR,BUENOS AIRES,No especificado,Nafta (súper) entre 92 y 95 Ron,Nocturno,1562.0,-34.47597,-58.66318,2025,11,2025,11
25 DE MAYO,BUENOS AIRES,No especificado,Gas Oil Grado 2,Diurno,1370.0,-35.425,-60.16962,2025,7,2025,7
25 DE MAYO,BUENOS AIRES,No especificado,Gas Oil Grado 2,Nocturno,1370.0,-35.425,-60.16962,2025,7,2025,7
